gene,n_pairs,median_delta_logCPM,n_higher_tumour,wilcoxon_p,bh_q,positive_q_rank,selected_for_atlas
TIMP1,8,1.5515159699427916,8,0.0078125,0.05078125,1.0,True
IFITM1,8,1.0841048377125675,8,0.0078125,0.05078125,2.0,True
CHI3L1,8,0.565712791584212,7,0.015625,0.05078125,3.0,True
LCN2,8,1.3490405053462076,6,0.0390625,0.1015625,4.0,False
SOD2,8,0.477123960620228,7,0.0546875,0.1184895833333333,5.0,False
CXCL10,8,0.7401692556756845,6,0.078125,0.126953125,6.0,False
IER3,8,-0.0432575253865463,3,0.9453125,0.9453125,,False
IL6,8,-0.1938475587241241,2,0.4609375,0.5447443181818182,,False
CCL2,8,-0.373272113193059,3,0.3828125,0.4976562499999999,,False
SLPI,8,-0.4220115694360751,3,0.7421875,0.8040364583333333,,False
CCL11,8,-0.6242950618580081,2,0.078125,0.126953125,,False
CSF3,8,-0.7009525778349759,1,0.1953125,0.2821180555555556,,False
MT2A,8,-1.0657652150286796,1,0.015625,0.05078125,,False
