Patient,Class,n_cells,score,dataset
SMC01,Normal,54,0.4975775461943283,GSE132465
SMC02,Normal,38,0.511248440627221,GSE132465
SMC04,Normal,19,0.535889082213986,GSE132465
SMC04,Tumor,5,0.7175223697052225,GSE132465
SMC05,Normal,31,0.757232817381894,GSE132465
SMC06,Normal,4,0.7212165819985417,GSE132465
SMC07,Normal,63,0.7232032434750635,GSE132465
SMC08,Normal,17,0.7171878459224512,GSE132465
SMC09,Normal,4,0.4567583361539015,GSE132465
SMC10,Normal,51,0.7343476218164289,GSE132465
SMC14,Tumor,4,0.8613181894272698,GSE132465
SMC15,Tumor,10,0.7656678356717966,GSE132465
