iteration,TIMP1_match,IFITM1_match,CHI3L1_match,median_paired_delta,n_positive_patients
1,EID1,SLC25A5,IGKV2D-28,-0.0010163793340325356,22
2,CHCHD2,JTB,REP15,0.01215408369898796,26
3,GABARAP,IL32,KRT7,0.05208615958690643,30
4,GPX4,FABP1,ZNF671,-0.00225944840349257,22
5,GABARAP,APRT,SAMD10,0.02588849700987339,28
6,CHCHD2,SFRP4,AURKB,0.008659210987389088,24
7,TMBIM6,TUFM,SIK1,0.00768230389803648,24
8,GPX4,IL11RA,SIK1,-0.005463383160531521,20
9,TMBIM6,PLP2,KLRF1,0.002167187165468931,23
10,BTF3,IL32,REP15,0.06126287579536438,31
11,COX6A1,JTB,AGAP2,0.009761788882315159,24
12,GPX4,IL32,UBASH3A,0.05565314739942551,32
13,CHCHD2,FABP1,AURKB,-0.0014956649392843246,22
14,TXNIP,CYCS,AURKB,-0.10064031183719635,9
15,DNAJA1,APRT,UBASH3A,0.03381578251719475,28
16,GSTP1,IL32,REP15,0.04115554317831993,33
17,GABARAP,COL15A1,ZNF671,-0.0035898624919354916,21
18,BTG2,PLP2,MRC1,-0.041608959436416626,12
19,BTG2,IL32,REP15,-0.011556113138794899,20
20,BTG2,JTB,SIK1,-0.02331133745610714,18
21,BTG2,PIGR,SAMD10,-0.05275467038154602,12
22,EID1,COL15A1,ZNF671,-0.04194498062133789,14
23,COX6A1,SLC25A5,IGKV2D-28,0.0005978600820526481,22
24,CHCHD2,APRT,MRC1,0.01617225632071495,27
25,EID1,PLP2,MRC1,-0.009976291097700596,21
26,IFITM2,CYCS,KRT7,0.019848838448524475,28
27,IFITM2,JTB,IL18RAP,0.008280015550553799,25
28,DNAJA1,PLP2,AGAP2,0.00862923264503479,27
29,BTF3,TUFM,ZNF671,0.017610106617212296,25
30,GSTP1,JTB,KRT7,0.01532257441431284,27
31,IFITM2,JTB,ZNF671,0.00544392317533493,24
32,CHCHD2,SFRP4,SIK1,0.007681675720959902,23
33,PPP1R15A,SFRP4,AURKB,0.015627412125468254,25
34,GSTP1,HSPD1,AGAP2,0.030514921993017197,29
35,COX6A1,PLP2,KLRF1,-0.00754666980355978,19
36,BTF3,PIGR,IGKV2D-28,4.695415555033833e-06,22
37,DNAJA1,CYCS,KRT7,0.030008841305971146,27
38,TXNIP,APRT,KRT7,-0.09017320722341537,8
39,TMBIM6,SLC25A5,LINC00954,0.011805107817053795,25
40,EID1,SFRP4,ZNF671,0.014938700944185257,25
41,GSTP1,PLP2,IGKV2D-28,-0.0011818479979410768,21
42,LGALS3,PLP2,AURKB,-0.019473079591989517,21
43,EID1,JTB,IL18RAP,0.0006933931144885719,22
44,IFITM2,JTB,AGAP2,0.008183151483535767,25
45,TXNIP,IL32,AURKB,-0.09647387266159058,12
46,TXNIP,IL11RA,ZNF671,-0.13384637236595154,6
47,TMBIM6,SFRP4,IL18RAP,0.01565612480044365,25
48,BTG2,PLP2,AURKB,-0.04057843238115311,12
49,LGALS3,TUFM,SAMD10,-0.012273889034986496,20
50,PPP1R15A,CDK2AP2,MRC1,-0.008467063307762146,20
51,COX6A1,CYCS,REP15,0.012814586982131004,28
52,EID1,PIGR,REP15,-0.006564811337739229,20
53,COX6A1,ID2,SAMD10,-0.0011557545512914658,22
54,PPP1R15A,PIGR,SIK1,-0.024743419140577316,20
55,COX6A1,APRT,LINC00954,0.022826196625828743,24
56,GPX4,PLP2,AURKB,0.014144910499453545,25
57,IFITM2,IL11RA,AURKB,-0.00014519284013658762,22
58,LGALS3,PIGR,ZNF671,-0.02743542566895485,18
