"gene","logFC_6h","FDR_6h","logFC_12h","FDR_12h","logFC_24h","FDR_24h","n_up_fdr05","n_down_fdr05","mean_logFC"
"Cxcl2",6.6735200688615,2.65866065681588e-05,3.91841649114921,0.0248134339096068,3.86686750985685,0.0338764164211906,3,0,4.81960135662252
"Cxcl1",5.56987008254019,4.22779013947118e-05,3.44570235140982,0.0248134339096068,3.77412837724139,0.0112901801488372,3,0,4.26323360373047
"Steap4",3.22310179943385,0.0123825435039855,5.01234068865297,0.000130485160165367,3.86426631398212,0.00689735266977931,3,0,4.03323626735631
"Mt2",2.62040160166239,0.00014638458747091,2.46732357353303,0.000243215750180253,2.28706842789896,0.000812011063133465,3,0,2.45826453436479
"Ccl7",1.79766027367759,0.0329750337405263,2.54816078004357,0.0115223238439419,2.84568721374744,0.00309710283408075,3,0,2.39716942248953
"Cebpd",2.2100743468981,0.00250731473111029,2.41930161154693,0.000543453781934562,2.49686778192562,0.000395072879948025,3,0,2.37541458012355
"Sod2",1.67264684717892,0.00810030348579337,2.69900138261872,2.50043751550779e-05,2.36074037309536,0.000212449578314827,3,0,2.24412953429766
"Ccl2",2.00021527749684,0.00479399530843184,2.21121970842486,0.00194032611940425,2.34796484332916,0.000812011063133465,3,0,2.18646660975028
"Ier3",1.79903311669441,0.00270332417873564,1.49465953655263,0.0254355489277777,1.45762867838772,0.0395437679439887,3,0,1.58377377721159
"Nos2",1.82710830962077,0.132857453737436,5.72278285212795,2.50043751550779e-05,5.35915838717868,8.23702543968941e-05,2,0,4.30301651630914
"Cxcl10",5.84722454131355,8.44399922305971e-05,3.72754373283149,0.0268790894629493,3.17307388465485,0.156990332314705,2,0,4.24928071959996
"Gbp2",5.89233529248661,2.65866065681588e-05,3.48120242077428,0.0246338520238771,2.11747026868351,0.949503401829886,2,0,3.83033599398147
"Il6",3.4076877839683,0.0241482336907705,4.8375322735928,0.0041796209653862,3.22024228765596,0.263101885743635,2,0,3.82182078173902
"Vnn1",2.53641247128312,0.0643958544697009,4.21899884303357,0.0125262272611862,3.98691414927313,0.028947773283497,2,0,3.58077515452994
"Lcn2",-0.418309702347621,0.786798689515655,5.55454334139682,3.00171527816864e-05,5.55083837524319,3.55451430653213e-05,2,0,3.56235733809746
"Saa3",0.0137967377598507,0.998856647480396,5.55137547988811,2.50043751550779e-05,5.09583768421804,0.000121205606053285,2,0,3.55366996728867
