"sample","treatment","time","replicate","group"
"GC110955","unstimulated","6",1,"h6_unstimulated"
"GC110958","unstimulated","6",2,"h6_unstimulated"
"GC110961","unstimulated","6",3,"h6_unstimulated"
"GC110964","unstimulated","6",4,"h6_unstimulated"
"GC110967","unstimulated","12",1,"h12_unstimulated"
"GC110970","unstimulated","12",2,"h12_unstimulated"
"GC110973","unstimulated","12",3,"h12_unstimulated"
"GC110976","unstimulated","12",4,"h12_unstimulated"
"GC110979","unstimulated","24",1,"h24_unstimulated"
"GC110982","unstimulated","24",2,"h24_unstimulated"
"GC110985","unstimulated","24",3,"h24_unstimulated"
"GC110988","unstimulated","24",4,"h24_unstimulated"
"GC110956","healthy_CM","6",1,"h6_healthy_CM"
"GC110959","healthy_CM","6",2,"h6_healthy_CM"
"GC110962","healthy_CM","6",3,"h6_healthy_CM"
"GC110965","healthy_CM","6",4,"h6_healthy_CM"
"GC110968","healthy_CM","12",1,"h12_healthy_CM"
"GC110971","healthy_CM","12",2,"h12_healthy_CM"
"GC110974","healthy_CM","12",3,"h12_healthy_CM"
"GC110977","healthy_CM","12",4,"h12_healthy_CM"
"GC110980","healthy_CM","24",1,"h24_healthy_CM"
"GC110983","healthy_CM","24",2,"h24_healthy_CM"
"GC110986","healthy_CM","24",3,"h24_healthy_CM"
"GC110989","healthy_CM","24",4,"h24_healthy_CM"
"GC110957","tumor_CM","6",1,"h6_tumor_CM"
"GC110960","tumor_CM","6",2,"h6_tumor_CM"
"GC110963","tumor_CM","6",3,"h6_tumor_CM"
"GC110966","tumor_CM","6",4,"h6_tumor_CM"
"GC110969","tumor_CM","12",1,"h12_tumor_CM"
"GC110972","tumor_CM","12",2,"h12_tumor_CM"
"GC110975","tumor_CM","12",3,"h12_tumor_CM"
"GC110978","tumor_CM","12",4,"h12_tumor_CM"
"GC110981","tumor_CM","24",1,"h24_tumor_CM"
"GC110984","tumor_CM","24",2,"h24_tumor_CM"
"GC110987","tumor_CM","24",3,"h24_tumor_CM"
"GC110990","tumor_CM","24",4,"h24_tumor_CM"
