Sample,Donor,Sample_type,MMR status,n_schwann,total_counts,MT2A,SOD2,CCL2,IER3,CXCL10,IL6,LCN2,SLPI,CHI3L1,CSF3,CCL11,TIMP1,IFITM1,logCPM_MT2A,logCPM_SOD2,logCPM_CCL2,logCPM_IER3,logCPM_CXCL10,logCPM_IL6,logCPM_LCN2,logCPM_SLPI,logCPM_CHI3L1,logCPM_CSF3,logCPM_CCL11,logCPM_TIMP1,logCPM_IFITM1,reactive_core_score
118N,Donor118,N,pMMR,718,103057,230,109,43,347,32,27,102,42,21,29,44,44,151,7.711000328243585,6.964765958373939,6.0360669684311565,8.122094775851597,5.74142430500888,5.572119571714244,6.8984557117189595,6.012593396641241,5.32189095726678,5.643316265968797,6.059002145540675,6.059002145540675,7.290435146471201,6.417859052059364
118T,Donor118,T,pMMR,1127,369527,450,800,64,786,100,134,2742,101,127,50,55,1290,1992,7.105599886443894,7.68060499931587,5.160171807438932,7.662958287627106,5.60439011479604,5.896125138295091,8.91210908608679,5.614303992853596,5.842623992549395,4.9149178387481935,5.009560857811281,8.158215380919016,8.59261139600756,6.627245598376366
130T,Donor130,T,pMMR,488,167585,168,155,29,502,55,27,26,41,45,23,17,135,538,6.911225605709067,6.830770320144939,5.159322583660174,8.005198492388786,5.79664014628223,5.088289128434451,5.050786024791915,5.503915768589511,5.5966442772943665,4.929018697150846,4.6292876064624915,6.692779972691754,8.074434601685512,6.020639478868158
137T,Donor137,T,pMMR,1715,239383,904,400,142,363,345,125,115,177,250,100,118,1181,750,8.236784628781411,7.421753324843846,6.387201933257293,7.324752573458849,7.2739285394274455,6.259917469145168,6.176702055398399,6.607191764409873,6.952108490961054,6.037251654581555,6.202401738226145,8.504009990071193,8.05008283217758,7.033391307287678
142N,Donor142,N,dMMR,2528,700994,4388,729,141,1763,85,168,397,274,99,102,251,152,1178,8.742044512328203,6.94789080415961,5.308975112677392,7.83042566884939,4.806120375321556,5.483383832836065,6.340956402767225,5.970939162772901,4.957431598013141,4.9870777467487475,5.883497802464599,5.383737672884462,7.42742420971943,6.159223453964826
142T,Donor142,T,dMMR,1285,146474,511,213,86,242,137,74,72,130,132,69,72,489,321,8.15756353168663,7.28288694141151,6.376956374201646,7.410450148199031,6.841956848653667,6.226949855872553,6.199605754295003,6.7895678799346415,6.80481829957154,6.157134406888749,6.199605754295003,8.113569323132873,7.692804665028555,6.942605367936263
150T,Donor150,T,pMMR,1290,265248,434,282,40,924,112,79,72,55,50,66,40,4383,787,7.400745559491706,6.969937266172831,5.0225788059968925,8.156089136954515,6.047954398613669,5.699889839608666,5.607433391281402,5.339234325795337,5.244403985268825,5.520755638447517,5.0225788059968925,9.712639257614523,7.995655270055057,6.4415304370229105
170N,Donor170,N,pMMR,1180,147474,925,270,41,168,41,38,34,48,29,48,42,146,134,8.744056546082243,7.513071399811744,5.631265929989042,7.038944805698221,5.631265929989042,5.555562933144838,5.444792005418177,5.78837206573511,5.286471643736454,5.78837206573511,5.655278143752732,6.89871959772146,6.813043136952365,6.291478169520502
170T,Donor170,T,pMMR,933,197659,369,228,28,396,40,37,108,65,58,28,29,254,432,7.532544117111316,7.05142413406967,4.960450915553253,7.60312518085444,5.3150207153379245,5.237457784430841,6.305171685558253,5.798635518619485,5.685057085800163,4.960450915553253,4.995300490066924,7.15932410466837,7.6900949828237115,6.176465971572892
278N,Donor278,N,pMMR,537,106938,245,88,37,91,34,26,44,55,30,30,36,69,96,7.73720064865935,6.714057332972613,5.8493100119281785,6.74754001114646,5.765006875717134,5.49770715447093,6.022123146054042,6.244781676459844,5.640261695245408,5.640261695245408,5.821991086951036,6.4711611826555675,6.800967560712189,6.2271053906321665
278T,Donor278,T,pMMR,738,182379,600,278,41,145,151,42,73,60,65,26,34,496,550,8.098901913577148,7.329945277708098,5.419678810242486,6.67965907782606,6.720155255497714,5.443670914147127,5.994623007493869,5.799047941375338,5.878857511218399,4.966754966796059,5.233378616920828,7.908611898285774,8.011918160990811,6.421938719390748
280N,Donor280,N,pMMR,534,64127,789,62,26,67,13,12,16,24,12,15,14,36,109,9.417737380736,6.875057943864083,6.007449711362811,6.952539067940983,5.3167598638863725,5.237126125292271,5.523478436248314,5.92761201224034,5.237126125292271,5.4592060089087635,5.390517157943697,6.3321884462622195,7.438825817230802,6.239663392092994
280T,Donor280,T,pMMR,384,154072,468,253,27,158,154,20,173,23,60,12,15,315,776,8.019132708774155,7.404333536971683,5.171862270077851,6.93390495048829,6.908287823172231,4.873741605703868,7.024517041113767,5.0125059147528175,5.967244390912656,4.367999511031488,4.58860452807892,7.623396890067222,8.52468630022747,6.340016728567109
