omitted_donor,n_remaining,median_beta,n_positive
Donor118,14,0.002224101544135976,8
Donor130,14,0.002224101544135976,8
Donor137,14,-0.0009201544352507534,7
Donor142,14,-0.0009201544352507534,7
Donor150,14,-0.0009201544352507534,7
Donor170,14,0.002224101544135976,8
Donor278,14,-0.0009201544352507534,7
Donor280,14,0.002224101544135976,8
Donor46,14,0.002224101544135976,8
Donor64,14,0.002224101544135976,8
Donor67,14,0.002224101544135976,8
Donor73,14,-0.0004926140879297511,7
Donor74,14,-0.0009201544352507534,7
Donor7,14,-0.0009201544352507534,7
Donor92,14,-0.0009201544352507534,7
