Sample,Donor,beta,n_cells,n_fovs
118T,Donor118,-0.0036368700673164805,1127,13
130T,Donor130,-0.12763525164484743,488,15
137T,Donor137,0.07585706890503735,1715,17
142T,Donor142,0.07136388153691586,1285,15
150T,Donor150,0.0026516418914569783,1290,14
170T,Donor170,-0.04830418541055708,933,21
278T,Donor278,0.020609457848012436,738,16
280T,Donor280,-0.12216662657510685,384,13
46T,Donor46,-0.15058597900016024,636,14
64T,Donor64,-0.006421082508173252,2188,20
67T,Donor67,-0.046135239939680474,3225,27
73T,Donor73,0.0017965611968149737,1828,31
74T,Donor74,0.00899388640073216,1307,15
7T,Donor7,0.08802174677877213,865,15
92T,Donor92,0.0810660796621137,1286,16
