gene,var_index,n_cells_global,mean_counts_global,total_counts_global,global_log_mean,global_logit_detection,z_global_mean,z_global_detection,global_preselection_distance,target,preselection_rank
CLDN4,10407,1632354,2.9648442090337968,19149570.0,1.3774665627723304,-0.4779391934860181,43.202740461782476,1.2128360366194808,0.02846590907466859,TIMP1,1
ITM2A,27839,1053191,2.982862815668168,19265950.0,1.3820008611429244,-1.1149873013551002,43.34720892981262,1.0038188257736596,0.2437619777815499,TIMP1,2
CSTB,26497,2594970,2.979986000666679,19247369.0,1.3812783018697279,0.4407757739002359,43.32418727955321,1.5142689075022042,0.3106968805420276,TIMP1,3
DNAJA1,12466,2713628,2.9565796169892637,19096190.0,1.3753799189505191,0.5591924131949544,43.13625735643223,1.5531217278110343,0.3482275872924747,TIMP1,4
GIMAP4,11165,860018,3.0081701484112027,19429407.0,1.3883348150798984,-1.3760203264123199,43.54901669521742,0.9181731827489731,0.43722926782099664,TIMP1,5
GIMAP7,11164,914021,2.9251746316969247,18893349.0,1.367410842396708,-1.2991326879290899,42.88235252105342,0.9434002253314294,0.44357275611659336,TIMP1,6
JTB,1693,2184371,2.9174554903412804,18843492.0,1.3654423334327037,0.04869177686341413,42.8196333413502,1.3856250853707062,0.4439850066914595,TIMP1,7
CD2,1391,1184766,2.90538110405846,18765505.0,1.3623553723986812,-0.9554369712347426,42.721278867293925,1.056167721531059,0.5345357470727206,TIMP1,8
CEACAM5,24714,1384752,2.9012955653759733,18739117.0,1.3613086942208927,-0.7323305008836497,42.687930379720555,1.1293695591606039,0.5499928491810082,TIMP1,9
GPR183,17935,1027286,3.036229042222342,19610636.0,1.3953108506884728,-1.1479248904579904,43.77128199293811,0.9930119135150226,0.5854776526676907,TIMP1,10
PRDX5,15272,2626071,2.9038040502074742,18755319.0,1.3619514752336708,0.47148904032789274,42.70841019392889,1.5243460134622973,0.6055612078337205,TIMP1,11
CDK2AP2,15433,1659711,3.046910462326357,19679626.0,1.397953741192927,-0.4508727567635505,43.85548781953878,1.2217166078689408,0.6247572458618138,TIMP1,12
PLP2,27620,2054139,2.891729509099025,18677331.0,1.3588536627048322,-0.07349311841959515,42.609709977554004,1.3455358900586438,0.6340007092557011,TIMP1,13
TUFM,20676,1981355,2.8891185297015163,18660467.0,1.3581825329044581,-0.1419607720294134,42.58832693519883,1.3230714673346646,0.6509577044293654,TIMP1,14
TUBA1A,16599,1410826,2.886909322809732,18646198.0,1.3576143232752937,-0.7045820804162806,42.5702230593759,1.1384738911252135,0.6652839583023675,TIMP1,15
COX6A1,17380,3080463,2.903945251180584,18756231.0,1.361987644677047,0.955787610435192,42.70956259803797,1.6832456869564218,0.6986565949350749,TIMP1,16
TMBIM6,16614,3543672,2.940368909217838,18991487.0,1.371274350707838,1.5919226813666232,43.00544877130252,1.891963327908306,0.7106623511749707,TIMP1,17
CYCS,10086,2643480,3.054658556074514,19729670.0,1.399866480834546,0.48877591780430224,43.91643011825412,1.5300178848166268,0.7533592114910761,TIMP1,18
CLIC1,8894,3221260,2.9001337538603833,18731613.0,1.3610108484091479,1.1270298741232347,42.678440636299385,1.7394307378071732,0.7595861437555269,TIMP1,19
ATP5MC2,16729,3616769,3.002959646712688,19395753.0,1.3870339991983682,1.7191981522074558,43.507571059700204,1.9337227548583764,0.7674336688923867,TIMP1,20
LGALS1,27054,1879949,2.8712182098472505,18544851.0,1.3535692404142123,-0.2379460334273027,42.44134161483194,1.291578442911748,0.7928258586390367,TIMP1,21
ARPC3,17275,3253125,2.8923240395121197,18681171.0,1.3590064186977189,1.1678808561344711,42.61457697625393,1.7528340557274835,0.8159364128698706,TIMP1,22
SRSF3,9049,2712722,3.072466135377362,19844687.0,1.4042487460211501,0.5582746318744706,44.056054617187925,1.552820601272231,0.890659571349008,TIMP1,23
WDR83OS,24050,1827090,2.854127937680827,18434467.0,1.349144765518215,-0.28838738531680747,42.30037226129139,1.2750284986406577,0.9321184174858013,TIMP1,24
TSPAN8,17006,1491203,3.0960612514958092,19997085.0,1.410025841603866,-0.6206082108945241,44.24012017271275,1.1660259453179176,1.010713315799662,TIMP1,25
GPX4,23604,2429412,2.841157420660768,18350692.0,1.345773732814684,0.28032300047799125,42.19296690536753,1.461623917651475,1.0659973157008942,TIMP1,26
EDF1,13324,3163597,2.844898472320042,18374855.0,1.3467471974906615,1.0551890190921043,42.223982718383276,1.715859558554143,1.1231520716742518,TIMP1,27
HNRNPK,12720,3112537,2.840851175567773,18348714.0,1.3456940023407276,0.9935980938608501,42.190426591853424,1.6956514090498422,1.1447477767517336,TIMP1,28
MCL1,1550,3253657,2.84176681433419,18354628.0,1.3459323686819815,1.1685703093524402,42.198021244286146,1.753060267196992,1.1631195111482222,TIMP1,29
HSPD1,4223,2544123,2.8206936528769155,18218519.0,1.3404319906567626,0.3909931136199334,42.02277225933989,1.4979350817334094,1.239991175446053,TIMP1,30
IGHV3-21,19126,102479,3.0500766464273443,19700076.0,1.39873580598316,-3.7041964637503026,43.88040539066246,0.15429228180422327,1.2463732009416333,TIMP1,31
IFITM3,14426,1844513,2.811523485731812,18159290.0,1.3380289742353701,-0.2717240757133615,41.94620912372859,1.2804957756857507,1.2860542209950736,TIMP1,32
